loss,Softmax_loss,FTGenerator_loss,Softmax_accuracy,val_loss,val_Softmax_loss,val_FTGenerator_loss,val_Softmax_accuracy,lr
0.4642934799194336,0.6253609657287598,0.023153886198997498,0.7714389562606812,0.6580293774604797,1.1858588457107544,0.028020568192005157,0.33617424964904785,0.1
0.19456766545772552,0.3017791509628296,0.020772848278284073,0.895510733127594,1.268404483795166,2.4553465843200684,0.028020568192005157,0.32481059432029724,0.1
0.1605062037706375,0.25189685821533203,0.02076803334057331,0.9150992631912231,0.8783235549926758,1.6854653358459473,0.028020568192005157,0.32623106241226196,0.1
0.13911846280097961,0.21637016534805298,0.0206505935639143,0.9252831935882568,0.9934787154197693,1.919237732887268,0.028020568192005157,0.3276515007019043,0.1
0.12728112936019897,0.19442607462406158,0.020718658342957497,0.9349475502967834,0.4855436384677887,0.9046816825866699,0.028020568192005157,0.5733901262283325,0.1
0.12371088564395905,0.18988819420337677,0.02075570821762085,0.9360905885696411,0.3212710916996002,0.5777273774147034,0.028020568192005157,0.7386363744735718,0.1
0.08911778032779694,0.125874862074852,0.02071063220500946,0.959472119808197,0.34478119015693665,0.6346827745437622,0.028020568192005157,0.7552083134651184,0.01
0.07462869584560394,0.10449238121509552,0.02060796692967415,0.9683570861816406,0.377501517534256,0.7048368453979492,0.028020568192005157,0.720643937587738,0.01
0.07310809940099716,0.10456318408250809,0.020694227889180183,0.9686168432235718,0.3741734027862549,0.7000627517700195,0.028020568192005157,0.7178030014038086,0.01
0.06831548362970352,0.09574060887098312,0.02068265900015831,0.9728775024414062,0.3861446678638458,0.7240986824035645,0.028020568192005157,0.5894886255264282,0.01
0.07163256406784058,0.10224084556102753,0.02066962979733944,0.9718902707099915,0.32124486565589905,0.5936096906661987,0.028020568192005157,0.8025568127632141,0.01
0.07881928235292435,0.11554259806871414,0.020625585690140724,0.9653434753417969,0.2673862874507904,0.48462510108947754,0.028020568192005157,0.8271780014038086,0.01
0.08532635867595673,0.12683989107608795,0.02077525109052658,0.9629533290863037,0.2074669897556305,0.36327922344207764,0.028020568192005157,0.8773674368858337,0.01
0.09293118864297867,0.14071589708328247,0.020737718790769577,0.9601995348930359,0.13653916120529175,0.21995221078395844,0.028020568192005157,0.9266098737716675,0.01
0.0969645231962204,0.1476980447769165,0.020754734054207802,0.9556271433830261,0.11578069627285004,0.1779039055109024,0.028020568192005157,0.9540719985961914,0.01
0.09877251088619232,0.15114016830921173,0.020745549350976944,0.9531850814819336,0.32577282190322876,0.597976565361023,0.028020568192005157,0.7504734992980957,0.01
0.10053101927042007,0.15489409863948822,0.02071862295269966,0.9521978497505188,0.20580019056797028,0.3581441640853882,0.028020568192005157,0.8579545617103577,0.01
0.10098603367805481,0.1559673696756363,0.020735757425427437,0.9531850814819336,0.10348565876483917,0.15389174222946167,0.028020568192005157,0.9474431872367859,0.01
0.10239028930664062,0.15938152372837067,0.020625509321689606,0.9499116539955139,0.1300109177827835,0.20728136599063873,0.028020568192005157,0.9313446879386902,0.01
0.09927364438772202,0.15333083271980286,0.02068616822361946,0.9522498250007629,0.09266338497400284,0.1328635811805725,0.028020568192005157,0.9616477489471436,0.01
0.09856253117322922,0.15217739343643188,0.02075776644051075,0.9526135325431824,0.23173289000988007,0.41123056411743164,0.028020568192005157,0.8536931872367859,0.01
0.09884003549814224,0.15295588970184326,0.020773522555828094,0.95276939868927,0.38464388251304626,0.7173463702201843,0.028020568192005157,0.736268937587738,0.01
0.09914009273052216,0.1539556086063385,0.020640503615140915,0.9525615572929382,0.2570972144603729,0.46248629689216614,0.028020568192005157,0.8214961886405945,0.01
0.09552821516990662,0.14673534035682678,0.020610393956303596,0.9570300579071045,0.5017357468605042,0.9518247246742249,0.028020568192005157,0.6903409361839294,0.01
0.09313762187957764,0.14187650382518768,0.020676463842391968,0.9572898149490356,0.10517214983701706,0.1585964411497116,0.028020568192005157,0.9460227489471436,0.01
