loss,accuracy,val_loss,val_accuracy,lr
1.306137204170227,0.7389950156211853,0.949847936630249,0.5553977489471436,0.1
0.3608151078224182,0.8982645869255066,0.9873920679092407,0.6354166865348816,0.1
0.28942638635635376,0.9125532507896423,0.9895544052124023,0.5857007503509521,0.1
0.25433221459388733,0.9230489730834961,0.9927874207496643,0.5127840638160706,0.1
0.23549799621105194,0.9304790496826172,1.0450084209442139,0.6226325631141663,0.1
0.21475163102149963,0.9397796988487244,1.055329442024231,0.6349431872367859,0.1
0.1681455820798874,0.9528733491897583,1.1099389791488647,0.6401515007019043,0.01
0.13607728481292725,0.9617583155632019,1.1788657903671265,0.6339961886405945,0.01
0.13106295466423035,0.962277889251709,1.2664357423782349,0.6444128751754761,0.01
0.12456711381673813,0.964044451713562,1.2753026485443115,0.640625,0.01
0.12749214470386505,0.9645640850067139,1.7247669696807861,0.6500946879386902,0.01
0.13733305037021637,0.960719108581543,1.6240344047546387,0.6491477489471436,0.01
0.14385022222995758,0.9576535224914551,0.6010181307792664,0.7490530014038086,0.01
0.14762553572654724,0.9578093886375427,2.2927093505859375,0.5516098737716675,0.01
0.14440131187438965,0.957133948802948,1.7776035070419312,0.6496211886405945,0.01
0.147282674908638,0.9575496315956116,0.5377514958381653,0.8035038113594055,0.01
0.14578023552894592,0.958380937576294,0.584240734577179,0.7708333134651184,0.01
0.14430615305900574,0.9587446451187134,0.1909143477678299,0.9427083134651184,0.01
0.15342840552330017,0.9552634358406067,0.2660922408103943,0.9010416865348816,0.01
0.1378890872001648,0.960719108581543,0.5073846578598022,0.8219696879386902,0.01
0.14181964099407196,0.9583290219306946,0.5469112992286682,0.8200757503509521,0.01
0.13832472264766693,0.9598877429962158,0.30030718445777893,0.9005681872367859,0.01
0.13162055611610413,0.9633690118789673,0.946262538433075,0.6216856241226196,0.01
0.14666607975959778,0.9581731557846069,0.36249905824661255,0.8607954382896423,0.01
0.13807418942451477,0.9606671333312988,0.4945071339607239,0.8243371248245239,0.01
